danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.499,0.61,-5.11,0.135,0.473,0.0,0.0722,0.436,172.969,38JAoElYA1uD3EPi09Iy1a,260773
0.611,0.385,-9.844,0.0436,0.359,0.0,0.0635,0.325,99.78,7cNl9yAs9sScxAPIjM1fb4,304667
0.71,0.469,-7.611,0.0415,0.211,0.214,0.0369,0.17,124.998,0yAv6ZMtepBgggOKcwxXHE,283771
0.521,0.754,-4.144,0.0634,0.0373,0.0,0.239,0.352,125.876,0YzCQcsgj6KqwBHVx1mZrH,209867
0.563,0.402,-10.496,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,22NLm3IIR9NLG0cUYtmHMW,310520
0.56,0.372,-6.58,0.0446,0.271,0.0,0.195,0.473,119.384,2wZTnl0pPFr3HBcyXfOaVJ,322093
0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,5Nm9ERjJZ5oyfXZTECKmRt,172724
0.372,0.247,-8.706,0.0273,0.981,0.000223,0.11,0.239,96.17,5vUNRJsvEOUsz4sbKkJpFr,223429
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560
0.608,0.706,-7.275,0.0853,0.0595,0.0,0.056,0.357,124.985,4LOLvDtzykDC7y9WehFoOi,233099
0.489,0.57,-10.291,0.306,0.759,2.1e-06,0.179,0.584,185.516,2Gnsof1hvZzjE1xdLRpjtf,272573
0.756,0.658,-7.124,0.11,0.00901,0.0188,0.0805,0.954,151.027,3bnVNMCk5FJulcpS7aXJbY,227973
0.689,0.68,-7.196,0.0427,0.321,0.0211,0.0431,0.646,100.987,7s1upm7yr7ZjrzXMwHawtG,368317
0.468,0.19,-11.138,0.0373,0.919,0.0,0.107,0.326,125.319,64GRDrL1efgXclrhVCeuA0,219536
0.587,0.369,-12.994,0.0262,0.462,0.0,0.079,0.529,89.599,1i1H1aogIEHNLtNLxCxQsF,201387
